,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-105-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,lawton,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,10k/10k,none,block: ,none,l1-107-16  chieftan         ,none,none
5,none,seam sealing: ,none,critically taped,none,fit: ,none,regular,none,none
6,none,insulation: ,none,synthetic down,none,target fob: ,none,55,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,a,wip003-qprdf6 $4.40/ oxford $4.00,wide +,none,none,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,hood & sleeves,synthetic down,df 200gm,100% poly,df 200gm,none,none,none,none,none
16,body,synthetic down,df 240gm,100% poly,df 240gm,none,none,none,none,none
18,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
19,critically taped,width...seam tape,sealon,none,critically taped,none,none,none,none,none
21,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
22,"hood,  sleeves, chest pocket bag",solid 210d,solis / ref number,none,none,none,none,none,none,none
23,front and back panels,printed 210t,solis / ref number,none,none,none,none,none,none,none
24,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none,none,none,none
25,chin & hand pocket bags,brushed tricot,solis / ref number,none,none,none,none,none,none,none
26,underam vents & goggle pocket,regular mesh,solis / ref number,none,none,none,none,none,none,none
27,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none,none,none,none
