,position,ref num,location,amount,silt,walnut,black,0,0,0
8, #5 matte water resistant reverse coil,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,slider/pull color: x6 black oxides zipper tape/teeth color: matte black,slider/pull color: x6 black oxides zipper tape/teeth color: matte black,slider/pull color: x6 black oxides zipper tape/teeth color: matte black,none,none,none
9, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket horizontal,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,none,none,none
10, #5 coil zipper,"non ykk / 2-way closed end top, open end bottom zip out to close. dadhr die cast wire non locking",right side entry,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,none,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,left underarm vent,1,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,none,none,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,none,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
14,"l1-2018-trim-017
l1 zipper pull",ykk,center front,1,x6 black oxides,x6 black oxides,x6 black oxides,none,none,none
15,l1-2018-trim-018 / non branded zipper pull faux leather,please source: same supplier as other faux leather trims,chest pocket (1) hand pockets (2),3,black faux leather,black faux leather,black faux leather,none,none,none
16, 11nt-045 / self fabric pull ,factory made,right side entry,2,match to shell,match to shell,match to shell,none,none,none
17, 11nt-045 / self fabric pull ,factory made,left underarm vent,1,match to shell,match to shell,match to shell,none,none,none
18,branded trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
19,"l1-2018-trim-007/ 
large black faux leather hem wrap",please source: same supplier as other faux leather trims,chest pocket horizontal,1,black faux leather,black faux leather,black faux leather,none,none,none
20,"l1-2018-trim-002
black faux leather patch",please source: same supplier as other faux leather trims,front left,1,black faux leather,black faux leather,black faux leather,none,none,none
21,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,front left sleeve hem,1,match to shell,match to shell,match to shell,none,none,none
22,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,none,none,none
23,trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
24,15mm metal snap ,luk's / 404,powder skirt - side closure,"2 female, 4 male",al023 alloy (d),al023 alloy (d),al023 alloy (d),none,none,none
25,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d),al023 alloy (d),al023 alloy (d),none,none,none
